model,precision,arm,norm,a,b,n_sig_positive,n_sig_negative,k_sets,pooled,ci_low,ci_high,tau2,I2,n_positive
whisfusion,,main,whisper,first,conf,14,0,14,7.641914923511421,6.8723510666022865,8.411478780420556,1.8123845106274106,0.8575056106631787,14
whisfusion,,main,whisper,first,rover_cg,14,0,14,10.851250459524437,9.835017680002798,11.867483239046075,3.437555184716975,0.9225989041794853,14
whisfusion,,main,whisper,mbr,rover_cg,13,0,14,1.624924832258405,1.3020767050798594,1.9477729594369504,0.315617616103751,0.8516695113680156,14
whisfusion,,main,whisper,rover_freq,rover_cg,0,9,14,-0.5591431004694166,-0.818992581922664,-0.29929361901616924,0.22338556687869257,0.9393836404974426,0
whisper-small,,beam,legacy,cm05,rover_cg,0,1,7,-0.058470620721890805,-0.2531611442440659,0.13621990280028426,0.02911923690457238,0.4887082066897371,3
whisper-small,,beam,legacy,conf,mbr,0,0,7,0.04642735843701319,-0.12252080612360945,0.21537552299763585,0.0,0.0,5
whisper-small,,beam,legacy,conf,rover_c,1,0,7,0.003940833059877871,-0.17756847709446688,0.1854501432142226,0.007061590127080218,0.10512865029029908,4
whisper-small,,beam,legacy,conf,rover_cg,0,0,7,0.023609096064818397,-0.14383831784262438,0.19105650997226117,0.0029590492480572415,0.04523224683541446,5
whisper-small,,beam,legacy,conf,rover_freq,1,0,7,0.06695178560556192,-0.08241282119461865,0.2163163924057425,0.0,0.0,5
whisper-small,,beam,legacy,first,conf,0,1,7,-0.1186759763063583,-0.2222139771223811,-0.015137975490335506,0.0,0.0,1
whisper-small,,beam,legacy,first,rover_cg,0,0,7,-0.040862450149496514,-0.21568355954029053,0.1339586592412975,0.009649332640670194,0.1754124567139727,3
whisper-small,,beam,legacy,mbr,rover_cg,0,1,7,-0.04019660800379663,-0.15428235389312175,0.0738891378855285,0.0013030662007443771,0.04929189714887957,2
whisper-small,,beam,legacy,rover_freq,rover_cg,0,1,7,-0.05731516544683743,-0.2151315494145768,0.10050121852090194,0.018045820596932043,0.45814746205425216,2
whisper-small,,beam,whisper,cm05,rover_cg,0,2,7,-0.2935268961388441,-0.48721849662781047,-0.09983529564987773,0.027937971561014244,0.47348961460906797,0
whisper-small,,beam,whisper,conf,mbr,0,0,7,0.017176033287495646,-0.15025072283644547,0.18460278941143676,0.0,0.0,4
whisper-small,,beam,whisper,conf,rover_c,0,0,7,-0.0916100035923569,-0.2861915854959131,0.10297157831119934,0.009315302347569611,0.12410924657443898,3
whisper-small,,beam,whisper,conf,rover_cg,0,0,7,-0.19073146899407556,-0.35684321340899156,-0.024619724579159563,0.0,0.0,2
whisper-small,,beam,whisper,conf,rover_freq,0,0,7,0.004122841007209193,-0.18129082945547498,0.18953651146989337,0.008449176368622673,0.12354987285540724,4
whisper-small,,beam,whisper,first,conf,0,0,7,-0.03542829561051999,-0.1392694624551106,0.06841287123407064,0.0,0.0,4
whisper-small,,beam,whisper,first,rover_cg,0,0,7,-0.1993028044509374,-0.33670967449956585,-0.06189593440230895,0.0,0.0,2
whisper-small,,beam,whisper,mbr,rover_cg,0,4,7,-0.25589679826011397,-0.37645863852399636,-0.13533495799623158,0.004053709334991253,0.15122674093571303,0
whisper-small,,beam,whisper,rover_freq,rover_cg,0,5,7,-0.229875831994551,-0.3039180907352059,-0.15583357325389607,0.0,0.0,0
