model,set,label,a,b,wer_a,wer_b,delta,ci_low,ci_high,se,p_boot,n,n_better,n_worse,n_tied,n_clusters,cl_ci_low,cl_ci_high,p_wilcoxon
drax,ls-dev-other,Drax standard vs confidence pick@main,first@ref/k1,conf@main/k16,5.830339872893064,6.756009947499309,-0.9256700746062448,-1.4880973077687265,-0.4026036895222383,0.2801773849492797,0.9995,400,38,73,289,33,-1.5889800962090117,-0.3165867235110274,0.0013667499938505925
drax,ls-tc-babble0,Drax standard vs confidence pick@main,first@ref/k1,conf@main/k16,35.53989428643342,42.8139944626227,-7.274100176189278,-8.444327591063892,-6.214700747770161,0.5556680524580171,1.0,600,92,347,161,40,-8.411211796183647,-6.077858298606029,3.554323919752686e-37
drax,ls-tc-babble10,Drax standard vs confidence pick@main,first@ref/k1,conf@main/k16,4.5389713902173,5.302458259921134,-0.7634868697038342,-1.1288402873860208,-0.38594015608218946,0.19234491319102484,1.0,600,61,111,428,40,-1.0217590038609632,-0.49061086223204387,7.14588065913794e-05
drax,ls-tc-babble5,Drax standard vs confidence pick@main,first@ref/k1,conf@main/k16,9.531000922896217,11.896971222417989,-2.365970299521772,-2.9289730704844126,-1.8220317241471975,0.28053195461915015,1.0,600,78,201,321,40,-3.117854980733072,-1.7452780723918413,5.243940590375822e-16
drax,ls-tc-white5,Drax standard vs confidence pick@main,first@ref/k1,conf@main/k16,7.257320244986995,8.767514053192382,-1.5101938082053863,-1.9382972697368201,-1.0957685922472944,0.2134385014962962,1.0,600,72,164,364,40,-2.0766414552321466,-0.9781166667659462,7.250931784405929e-11
drax,ls-test-clean,Drax standard vs confidence pick@main,first@ref/k1,conf@main/k16,2.567329473949157,2.810638476382247,-0.24330900243309003,-0.5021164883809871,-0.008281683914688438,0.12778163297653256,0.98,600,49,70,481,40,-0.4523904605989801,-0.03369840841620696,0.07517561160230385
drax,ls-test-other,Drax standard vs confidence pick@main,first@ref/k1,conf@main/k16,6.3611555471911165,7.151594993883505,-0.7904394466923873,-1.132365446199768,-0.43554649702168263,0.17809103693532616,1.0,600,63,116,421,33,-1.1978447399612593,-0.3844187396427813,5.2882090538131665e-05
drax,slr83,Drax standard vs confidence pick@main,first@ref/k1,conf@main/k16,7.593712212817413,7.654171704957679,-0.060459492140266025,-0.5372553128328705,0.41349639116591974,0.24406027386517676,0.626,600,84,84,432,24,-0.6619528987565098,0.564765315305007,0.7995553781114528
drax,spgispeech,Drax standard vs confidence pick@main,first@ref/k1,conf@main/k16,7.575332866152768,8.38822704975473,-0.8128941836019622,-1.1698679873898663,-0.4422189044672581,0.1873231159242812,1.0,600,90,159,351,416,-1.1608503773286953,-0.47611266154996784,8.441184488140943e-06
drax,voxpopuli,Drax standard vs confidence pick@main,first@ref/k1,conf@main/k16,7.745954993490794,8.55495629533197,-0.8090013018411754,-1.1975394199803906,-0.456061252164619,0.18985029739743378,1.0,600,63,115,422,296,-1.2138275447604256,-0.4532321427631563,4.175010890020864e-05
drax,ami,Drax standard vs MBR pick@main,first@ref/k1,mbr@main/k16,11.475713756025213,11.401557285873192,0.07415647015202076,-0.46054890228346246,0.6239630601247871,0.2810558829640149,0.4105,600,61,53,486,16,-0.538811057518686,0.7002378623688088,0.6622544868578859
drax,common_voice,Drax standard vs MBR pick@main,first@ref/k1,mbr@main/k16,13.531598513011152,13.358116480793061,0.1734820322180917,-0.49457208332109176,0.8317532600637968,0.3408153284927933,0.305,455,56,45,354,455,,,0.5677405803557438
drax,earnings22,Drax standard vs MBR pick@main,first@ref/k1,mbr@main/k16,20.965008473731434,23.208055029408833,-2.2430465556774,-3.2412474301329692,-1.2623521436766019,0.5135581539088667,1.0,600,134,163,303,6,-3.309897254758888,-1.746681305519513,0.000919360393053696
drax,fleurs-de,Drax standard vs MBR pick@main,first@ref/k1,mbr@main/k16,9.244951712028096,8.446005267778753,0.7989464442493416,0.4508955706883811,1.1614057601583674,0.18738845628562756,0.0,546,134,63,349,300,0.45283672027935934,1.1414165229345867,1.953122829146658e-05
drax,fleurs-en,Drax standard vs MBR pick@main,first@ref/k1,mbr@main/k16,9.953143893591294,10.157194679564691,-0.20405078597339782,-0.572032422090236,0.15946009251061155,0.18690880281439526,0.866,600,101,105,394,345,-0.6164048403763837,0.19884767180606816,0.36743612887406174
drax,fleurs-es,Drax standard vs MBR pick@main,first@ref/k1,mbr@main/k16,6.689419795221843,6.162847391516333,0.5265724037055095,0.28563119969521267,0.7801711356154525,0.12739770159719935,0.0,400,78,33,289,269,0.2835973781817215,0.7887423596476647,4.119021942995461e-05
drax,fleurs-fr,Drax standard vs MBR pick@main,first@ref/k1,mbr@main/k16,11.937462209553425,11.764705882352942,0.17275632720048373,-0.20157870240180123,0.5495827620859791,0.19340750557869357,0.1875,468,112,87,269,278,-0.19482549850899908,0.5314651259178822,0.4535912569254926
drax,fleurs-it,Drax standard vs MBR pick@main,first@ref/k1,mbr@main/k16,6.956704497688104,6.35771332492644,0.5989911727616646,0.25635372949075586,0.94441554287942,0.17393057126782469,0.0005,400,86,40,274,262,0.2695935548784004,0.9467137957614684,0.0003983850455837126
drax,fleurs-pt,Drax standard vs MBR pick@main,first@ref/k1,mbr@main/k16,13.682306628364719,13.20353229066922,0.47877433769549954,-0.02097981905384624,0.963672753352231,0.24065820856021836,0.0295,400,116,82,202,261,0.010309019298084362,0.9343765837040373,0.040852835730474005
drax,gigaspeech,Drax standard vs MBR pick@main,first@ref/k1,mbr@main/k16,14.5041541453067,14.451122503093513,0.0530316422131872,-0.3828821723124354,0.4978710031639608,0.22371037330142932,0.4155,600,101,94,405,117,-0.3375080930493793,0.45285605525860656,0.5004230930859761
drax,ls-dev-clean,Drax standard vs MBR pick@main,first@ref/k1,mbr@main/k16,3.1096996162498347,2.8185788011115522,0.29112081513828236,0.026925346423879636,0.5484730170929389,0.13198496125873435,0.0175,400,38,21,341,40,0.02849541332773605,0.5391609281334933,0.032516680190423586
drax,ls-dev-other,Drax standard vs MBR pick@main,first@ref/k1,mbr@main/k16,5.830339872893064,5.788891959104725,0.04144791378833932,-0.3544420123869702,0.42720755957105416,0.1954770071670735,0.432,400,40,36,324,33,-0.3874798428445617,0.4706396565701772,0.7113920634308257
drax,ls-tc-babble0,Drax standard vs MBR pick@main,first@ref/k1,mbr@main/k16,35.53989428643342,41.127611376793354,-5.58771709035993,-6.641961940845597,-4.544594810974509,0.5328834417106492,1.0,600,99,288,213,40,-6.659717025535376,-4.602924334339811,4.0689523978219085e-25
drax,ls-tc-babble10,Drax standard vs MBR pick@main,first@ref/k1,mbr@main/k16,4.5389713902173,4.13625304136253,0.4027183488547697,0.13989138059815806,0.6671783465911526,0.1387781320183002,0.0,600,78,52,470,40,0.12617558535164378,0.6820186230278923,0.005002870035235604
