model,precision,set,kind,arm,k,k_is_main,norm,a,b,delta,ci_low,ci_high,se,p_boot,n,n_better,n_worse,n_tied,n_clusters,cl_ci_low,cl_ci_high,p_wilcoxon
whisper-turbo,,ami,main,beam,8,True,whisper,mbr,rover_cg,-9.170421415319375,-10.533277711085004,-7.914443648322172,0.6536085381230781,1.0,400,16,185,199,16,-10.633124686590714,-7.625630942136967,4.76561207352845e-31
whisper-turbo,,ami,main,beam,8,True,legacy,cm05,rover_cg,-1.5106555165902347,-2.2009361440989905,-0.8749685773150135,0.33691020923364623,1.0,400,23,74,303,16,-2.3822776242393786,-0.7541503807368487,3.6168348667993644e-06
whisper-turbo,,ami,main,beam,8,True,whisper,cm05,rover_cg,-9.647495361781075,-11.057691255485157,-8.313403201704425,0.6893894137487389,1.0,400,14,188,198,16,-11.411710872744273,-7.888597020912804,7.5234573199136164e-31
whisper-turbo,,ami,main,beam,8,True,legacy,conf,rover_c,2.1041273266792553,-1.1900497637149148,7.909746963950501,2.699679271546872,0.3235,400,43,60,297,16,-0.8866868241042835,6.951071098195294,0.34560879184778937
whisper-turbo,,ami,main,beam,8,True,whisper,conf,rover_c,-6.307977736549165,-9.918049228719932,-0.45340733475987044,2.7008170359959087,0.98,400,26,173,201,16,-9.347183356912893,-1.9594071808616695,1.9945544318094812e-25
whisper-turbo,,ami,main,beam,8,True,legacy,conf,rover_freq,2.481791205826814,-0.7692996967190516,8.335903764711993,2.699223970671593,0.2335,400,45,49,306,16,-0.46469609694481306,7.345027169774822,0.9630127731091199
whisper-turbo,,ami,main,beam,8,True,whisper,conf,rover_freq,-5.96342433077127,-9.583360844522296,-0.05066080814102895,2.7002884040050366,0.9775,400,29,171,200,16,-9.064116065486564,-1.598559894382047,1.5708316064702468e-24
whisper-turbo,,ami,main,beam,8,True,legacy,first,rover_cg,1.4836795252225519,-1.7364659929116653,7.273249459597306,2.690611544199195,0.363,400,34,71,295,16,-1.5942575073784178,6.462513648410118,0.007059830350574302
whisper-turbo,,ami,main,beam,8,True,whisper,first,rover_cg,-6.520010601643254,-10.134514002753203,-0.6041253789977704,2.7025088327119366,0.982,400,23,184,193,16,-9.671620448737992,-2.1885553301404563,7.848509899721668e-27
whisper-turbo,,ami,main,beam,8,True,legacy,conf,mbr,2.724575128135959,-0.5466615747151804,8.65865692484641,2.733169925391345,0.159,400,36,33,331,16,0.0,7.589702907666162,0.5685692770060442
whisper-turbo,,ami,main,beam,8,True,whisper,conf,mbr,2.3323615160349855,-0.9133580433566598,8.1464985721703,2.690889639869219,0.2765,400,28,33,339,16,-0.33123909690154213,7.265579579376691,0.6675827619568837
whisper-turbo,,ami,main,beam,8,True,legacy,first,conf,-0.05395198273536553,-0.7703088491412138,0.5870152322576148,0.34505720707207677,0.561,400,23,18,359,16,-0.4946918928775833,0.3902195184208286,0.8979583597266163
whisper-turbo,,ami,main,beam,8,True,whisper,first,conf,0.3180492976411344,-0.433699164766388,1.0693622054956125,0.3833386633287564,0.207,400,27,16,357,16,-0.024973493531610127,0.7061529335546165,0.2691987499654154
whisper-turbo,,ami,main,beam,8,True,legacy,rover_freq,rover_cg,-0.9441596978688966,-1.4356788812566363,-0.4991624158423893,0.23787413448762243,1.0,400,20,53,327,16,-1.4407544849839848,-0.5149897106785454,8.211061229897481e-05
whisper-turbo,,ami,main,beam,8,True,whisper,rover_freq,rover_cg,-0.8746355685131195,-1.3377562065010795,-0.42958602730116174,0.2303430654660051,1.0,400,21,52,327,16,-1.3018428776510884,-0.4112884926705243,0.0002045774958420938
whisper-turbo,,ami,main,greedy,1,True,legacy,conf,rover_cg,0.0,0.0,0.0,0.0,1.0,400,0,0,400,16,0.0,0.0,1.0
whisper-turbo,,ami,main,greedy,1,True,whisper,conf,rover_cg,-7.686191359660747,-8.862766133533235,-6.575359528706494,0.5956299000367785,1.0,400,13,133,254,16,-8.986045349033038,-6.17013678901394,7.215000774515902e-26
whisper-turbo,,ami,main,greedy,1,True,legacy,mbr,rover_cg,0.0,0.0,0.0,0.0,1.0,400,0,0,400,16,0.0,0.0,1.0
whisper-turbo,,ami,main,greedy,1,True,whisper,mbr,rover_cg,-7.686191359660747,-8.862766133533235,-6.575359528706494,0.5956299000367785,1.0,400,13,133,254,16,-8.986045349033038,-6.17013678901394,7.215000774515902e-26
whisper-turbo,,ami,main,greedy,1,True,legacy,cm05,rover_cg,0.0,0.0,0.0,0.0,1.0,400,0,0,400,16,0.0,0.0,1.0
whisper-turbo,,ami,main,greedy,1,True,whisper,cm05,rover_cg,-7.686191359660747,-8.862766133533235,-6.575359528706494,0.5956299000367785,1.0,400,13,133,254,16,-8.986045349033038,-6.17013678901394,7.215000774515902e-26
whisper-turbo,,ami,main,greedy,1,True,legacy,conf,rover_c,0.0,0.0,0.0,0.0,1.0,400,0,0,400,16,0.0,0.0,1.0
whisper-turbo,,ami,main,greedy,1,True,whisper,conf,rover_c,-7.686191359660747,-8.862766133533235,-6.575359528706494,0.5956299000367785,1.0,400,13,133,254,16,-8.986045349033038,-6.17013678901394,7.215000774515902e-26
whisper-turbo,,ami,main,greedy,1,True,legacy,conf,rover_freq,0.0,0.0,0.0,0.0,1.0,400,0,0,400,16,0.0,0.0,1.0
whisper-turbo,,ami,main,greedy,1,True,whisper,conf,rover_freq,-7.686191359660747,-8.862766133533235,-6.575359528706494,0.5956299000367785,1.0,400,13,133,254,16,-8.986045349033038,-6.17013678901394,7.215000774515902e-26
whisper-turbo,,ami,main,greedy,1,True,legacy,first,rover_cg,0.0,0.0,0.0,0.0,1.0,400,0,0,400,16,0.0,0.0,1.0
whisper-turbo,,ami,main,greedy,1,True,whisper,first,rover_cg,-7.686191359660747,-8.862766133533235,-6.575359528706494,0.5956299000367785,1.0,400,13,133,254,16,-8.986045349033038,-6.17013678901394,7.215000774515902e-26
whisper-turbo,,ami,main,greedy,1,True,legacy,conf,mbr,0.0,0.0,0.0,0.0,1.0,400,0,0,400,16,0.0,0.0,1.0
whisper-turbo,,ami,main,greedy,1,True,whisper,conf,mbr,0.0,0.0,0.0,0.0,1.0,400,0,0,400,16,0.0,0.0,1.0
whisper-turbo,,ami,main,greedy,1,True,legacy,first,conf,0.0,0.0,0.0,0.0,1.0,400,0,0,400,16,0.0,0.0,1.0
whisper-turbo,,ami,main,greedy,1,True,whisper,first,conf,0.0,0.0,0.0,0.0,1.0,400,0,0,400,16,0.0,0.0,1.0
whisper-turbo,,ami,main,greedy,1,True,legacy,rover_freq,rover_cg,0.0,0.0,0.0,0.0,1.0,400,0,0,400,16,0.0,0.0,1.0
whisper-turbo,,ami,main,greedy,1,True,whisper,rover_freq,rover_cg,0.0,0.0,0.0,0.0,1.0,400,0,0,400,16,0.0,0.0,1.0
whisper-turbo,,ami,main,sample,16,True,legacy,conf,rover_cg,-0.7013757755597518,-1.5518250409199053,0.12742571643398673,0.4172981562092043,0.9545,400,34,45,321,16,-1.3866156175027355,-0.04705195682893391,0.08757125542611677
whisper-turbo,,ami,main,sample,16,True,whisper,conf,rover_cg,-8.507818711900345,-9.845530636018747,-7.216677033087004,0.676867731063358,1.0,400,25,157,218,16,-9.873653471031327,-6.939223393344348,6.91157279119471e-26
whisper-turbo,,ami,main,sample,16,True,legacy,mbr,rover_cg,-0.10790396547073106,-0.4908711635169468,0.2883112053884567,0.19931248278635202,0.719,400,22,26,352,16,-0.4633169272341247,0.23047493224572296,0.5868057967543582
whisper-turbo,,ami,main,sample,16,True,whisper,mbr,rover_cg,-7.792207792207792,-8.993151738153792,-6.634519042870275,0.6103983062153955,1.0,400,21,147,232,16,-9.025243976441086,-6.449038388601637,6.432263873575508e-26
whisper-turbo,,ami,main,sample,16,True,legacy,cm05,rover_cg,-0.2697599136768276,-0.8024848776677199,0.26840352858788497,0.27666298147618945,0.8485,400,27,34,339,16,-0.9440620010938978,0.22759334943340132,0.34779931381178153
whisper-turbo,,ami,main,sample,16,True,whisper,cm05,rover_cg,-8.083752981712164,-9.29655158223103,-6.882909681389551,0.6193734230996545,1.0,400,17,153,230,16,-9.446734457667068,-6.543560072589309,3.265286110514025e-26
whisper-turbo,,ami,main,sample,16,True,legacy,conf,rover_c,-0.7013757755597518,-1.5176488530646137,0.13263923963451024,0.41488983017956604,0.9585,400,32,41,327,16,-1.3411854340896037,-0.06669760711877036,0.10410153502767523
whisper-turbo,,ami,main,sample,16,True,whisper,conf,rover_c,-8.507818711900345,-9.88604354393458,-7.22760958170797,0.6806217419044273,1.0,400,24,151,225,16,-9.818909867721413,-6.947095995257107,7.479055606342977e-26
whisper-turbo,,ami,main,sample,16,True,legacy,conf,rover_freq,-0.16185594820609658,-0.9994637896201594,0.6440562668016648,0.41911776812634544,0.6575,400,40,34,326,16,-0.7610512749898879,0.5369761129109208,0.6076536498357623
whisper-turbo,,ami,main,sample,16,True,whisper,conf,rover_freq,-8.030744765438643,-9.34325447782987,-6.745361746613057,0.6754409817055569,1.0,400,25,143,232,16,-9.35030563480258,-6.334964664268736,1.1427426547251417e-23
whisper-turbo,,ami,main,sample,16,True,legacy,first,rover_cg,0.7553277582951173,-0.2790268609578851,1.9787059392119537,0.5725502189442219,0.087,400,63,50,287,16,-0.2831730276420542,1.8596357988635965,0.28861355745188055
whisper-turbo,,ami,main,sample,16,True,whisper,first,rover_cg,-6.8645640074211505,-8.335875506103932,-5.285687969044838,0.7852989266519056,1.0,400,39,154,207,16,-8.239775063621526,-5.252552150678614,4.507517530628741e-19
whisper-turbo,,ami,main,sample,16,True,legacy,conf,mbr,-0.5934718100890207,-1.4910751658841546,0.2770859036135226,0.449784243429244,0.908,400,36,41,323,16,-1.2225668623309178,0.08078817879833913,0.17603971421902243
whisper-turbo,,ami,main,sample,16,True,whisper,conf,mbr,-0.7156109196925523,-1.5896120629933788,0.13550007060931465,0.43881514934657934,0.9495,400,28,43,329,16,-1.274966964984094,0.05960955122978962,0.08152261300507874
whisper-turbo,,ami,main,sample,16,True,legacy,first,conf,1.456703533854869,0.1352123003122764,2.9062295716186934,0.6904124200627378,0.0135,400,66,44,290,16,0.324585646550461,2.6583242401976475,0.05113957261167445
whisper-turbo,,ami,main,sample,16,True,whisper,first,conf,1.6432547044791943,0.4499231843575419,3.0249952585817037,0.6568979454936894,0.0025,400,61,33,306,16,0.500931735626669,2.8412006798187135,0.007235279305209054
whisper-turbo,,ami,main,sample,16,True,legacy,rover_freq,rover_cg,-0.5395198273536552,-0.9391407004671036,-0.15830925820780872,0.20293993322836767,0.997,400,14,35,351,16,-0.967990977738762,-0.18365663913927044,0.009081788604359622
whisper-turbo,,ami,main,sample,16,True,whisper,rover_freq,rover_cg,-0.47707394646170154,-0.8547252329340178,-0.10603613136967849,0.19266174193854527,0.995,400,14,33,353,16,-0.9249032293108456,-0.1185364049582778,0.01694301146778693
whisper-turbo,,common_voice,main,beam,8,True,legacy,conf,rover_cg,-0.6681514476614699,-1.3534532262132848,0.0,0.34519178555339736,0.983,147,6,15,126,147,,,0.049534613435626706
whisper-turbo,,common_voice,main,beam,8,True,whisper,conf,rover_cg,-3.2514450867052025,-4.780113266854541,-1.8814600914382393,0.7272447549528448,1.0,147,6,31,110,147,,,1.1210591202667618e-05
whisper-turbo,,common_voice,main,beam,8,True,legacy,mbr,rover_cg,-0.8166295471417966,-1.609257151930558,-0.14705882352941177,0.37916347696596425,0.9935,147,5,14,128,147,,,0.027632724029533772
whisper-turbo,,common_voice,main,beam,8,True,whisper,mbr,rover_cg,-3.3959537572254335,-4.901367631799234,-2.036296060181053,0.7431394782243886,1.0,147,7,33,107,147,,,6.312182035678469e-06
whisper-turbo,,common_voice,main,beam,8,True,legacy,cm05,rover_cg,-0.5939123979213066,-1.2204890277309177,-0.0719398619035806,0.30459304699023376,0.99,147,4,12,131,147,,,0.04550026389635839
whisper-turbo,,common_voice,main,beam,8,True,whisper,cm05,rover_cg,-3.3236994219653178,-4.798530559141802,-2.024262245208397,0.7022507503370039,1.0,147,4,31,112,147,,,4.139027019437484e-06
whisper-turbo,,common_voice,main,beam,8,True,legacy,conf,rover_c,-0.22271714922049,-0.9213937668893206,0.37624400341834935,0.3346590137996019,0.767,147,6,7,134,147,,,0.6170750774519738
whisper-turbo,,common_voice,main,beam,8,True,whisper,conf,rover_c,-2.96242774566474,-4.477771285919158,-1.5798725504551365,0.7332552133469609,1.0,147,6,25,116,147,,,4.740976953239014e-05
whisper-turbo,,common_voice,main,beam,8,True,legacy,conf,rover_freq,-0.22271714922049,-0.8621197551263645,0.36496350364963503,0.3086135012477789,0.7985,147,5,6,136,147,,,0.4484228516453874
whisper-turbo,,common_voice,main,beam,8,True,whisper,conf,rover_freq,-3.106936416184971,-4.666873630387144,-1.6738838605666704,0.7495452923314027,1.0,147,6,25,116,147,,,2.7386127362877814e-05
whisper-turbo,,common_voice,main,beam,8,True,legacy,first,rover_cg,-0.7423904974016332,-1.4051565552984215,-0.145032632342277,0.3231221043539215,0.994,147,4,14,129,147,,,0.018422125454099002
whisper-turbo,,common_voice,main,beam,8,True,whisper,first,rover_cg,-3.3236994219653178,-4.869317448017565,-1.9423762713966761,0.7385124610000023,1.0,147,6,31,110,147,,,9.475047060134928e-06
whisper-turbo,,common_voice,main,beam,8,True,legacy,conf,mbr,0.14847809948032664,-0.5235798184206915,0.8253465367852529,0.35072992848879686,0.363,147,6,4,137,147,,,0.7131282524578562
whisper-turbo,,common_voice,main,beam,8,True,whisper,conf,mbr,0.14450867052023122,-0.5575694239272956,0.8627821451465969,0.35883307399611575,0.3715,147,7,5,135,147,,,0.713985795669382
whisper-turbo,,common_voice,main,beam,8,True,legacy,first,conf,-0.07423904974016332,-0.3610566771284706,0.15163289888302284,0.12930763217381266,0.814,147,1,2,144,147,,,0.5637028616507731
whisper-turbo,,common_voice,main,beam,8,True,whisper,first,conf,-0.07225433526011561,-0.4228778677008569,0.22140221402214022,0.16246542243493275,0.7505,147,2,3,142,147,,,0.6547208460185769
whisper-turbo,,common_voice,main,beam,8,True,legacy,rover_freq,rover_cg,-0.44543429844098,-1.0109033252726112,0.07369878081218138,0.27868080732290185,0.968,147,4,10,133,147,,,0.10880943004054568
whisper-turbo,,common_voice,main,beam,8,True,whisper,rover_freq,rover_cg,-0.14450867052023122,-0.6642434878490797,0.3636496060385353,0.26822980677567526,0.7535,147,6,8,133,147,,,0.5929800980174267
whisper-turbo,,common_voice,main,greedy,1,True,legacy,conf,rover_cg,0.0,0.0,0.0,0.0,1.0,147,0,0,147,147,,,1.0
whisper-turbo,,common_voice,main,greedy,1,True,whisper,conf,rover_cg,-2.8901734104046244,-4.319817529894839,-1.6128736854543306,0.6949723378409306,1.0,147,2,20,125,147,,,3.512534118457412e-05
whisper-turbo,,common_voice,main,greedy,1,True,legacy,mbr,rover_cg,0.0,0.0,0.0,0.0,1.0,147,0,0,147,147,,,1.0
