model,precision,arm,norm,a,b,n_sig_positive,n_sig_negative,k_sets,pooled,ci_low,ci_high,tau2,I2,n_positive
whisper-small,,beam,legacy,conf,mbr,0,0,7,0.04642735843701319,-0.12252080612360945,0.21537552299763585,0.0,0.0,5
whisper-small,,beam,legacy,conf,rover_c,1,0,7,0.003940833059877871,-0.17756847709446688,0.1854501432142226,0.007061590127080218,0.10512865029029908,4
whisper-small,,beam,legacy,conf,rover_cg,0,0,7,0.023609096064818397,-0.14383831784262438,0.19105650997226117,0.0029590492480572415,0.04523224683541446,5
whisper-small,,beam,legacy,conf,rover_freq,1,0,7,0.06695178560556192,-0.08241282119461865,0.2163163924057425,0.0,0.0,5
whisper-small,,beam,legacy,first,conf,0,1,7,-0.1186759763063583,-0.2222139771223811,-0.015137975490335506,0.0,0.0,1
whisper-small,,beam,legacy,first,rover_cg,0,0,7,-0.040862450149496514,-0.21568355954029053,0.1339586592412975,0.009649332640670194,0.1754124567139727,3
whisper-small,,beam,legacy,mbr,rover_cg,0,1,7,-0.04019660800379663,-0.15428235389312175,0.0738891378855285,0.0013030662007443771,0.04929189714887957,2
whisper-small,,beam,legacy,rover_freq,rover_cg,0,1,7,-0.05731516544683743,-0.2151315494145768,0.10050121852090194,0.018045820596932043,0.45814746205425216,2
whisper-small,,beam,whisper,cm05,rover_cg,0,6,7,-2.6454875014052277,-3.403380049620633,-1.8875949531898226,0.7100617375943168,0.7928301755733345,0
whisper-small,,beam,whisper,conf,mbr,0,0,7,0.017176033287495646,-0.15025072283644547,0.18460278941143676,0.0,0.0,4
whisper-small,,beam,whisper,conf,rover_c,0,5,7,-2.41265556544759,-3.0587359727912915,-1.7665751581038884,0.38426717969867086,0.6449604384180271,0
whisper-small,,beam,whisper,conf,rover_cg,0,5,7,-2.4211078201245826,-3.0870067578196396,-1.7552088824295256,0.4205248719806726,0.6617636378724576,0
whisper-small,,beam,whisper,conf,rover_freq,0,5,7,-2.414305550933021,-3.0997781464333714,-1.728832955432671,0.45147480494301806,0.6787725923765632,0
